spec_id,dimensions w x h x d,weight
www.cambuy.com.au//115,h4.3w2.5d1.1,217.0
www.cambuy.com.au//142,h3.8w2.2d0.9,142.0
www.cambuy.com.au//103,,
www.cambuy.com.au//20,h4.8w2.8d2.1,402.0
www.cambuy.com.au//98,,304.0
www.cambuy.com.au//77,h3.8w2.3d0.8,125.0
www.cambuy.com.au//139,h4.6w3.4d2.2,346.0
www.cambuy.com.au//61,h4.4w2.6d1.2,247.0
www.cambuy.com.au//36,h4.9w3.9d3.0,460.0
www.cambuy.com.au//119,h5.6w4.3d2.6,765.0
www.cambuy.com.au//16,h4.6w3.6d2.7,
www.cambuy.com.au//158,h4.8w3.3d2.8,340.0
www.cambuy.com.au//94,h3.8w2.3d0.8,125.0
www.cambuy.com.au//82,h4.9w3.9d3.0,460.0
www.cambuy.com.au//6,,497.0
www.cambuy.com.au//162,h3.8w2.2d0.9,142.0
www.cambuy.com.au//163,h3.8w2.2d1.0,
www.cambuy.com.au//7,h4.8w2.8d2.1,402.0
www.cambuy.com.au//83,h5.5w4.1d3.1,
www.cambuy.com.au//95,h3.7w2.3d0.8,120.0
www.cambuy.com.au//122,h4.7w2.6d1.8,
www.cambuy.com.au//56,h4.9w3.9d3.0,460.0
www.cambuy.com.au//17,h4.3w2.4d1.2,206.0
www.cambuy.com.au//118,,
www.cambuy.com.au//40,h4.3w2.4d1.2,206.0
www.cambuy.com.au//37,h5.5w4.1d3.1,
www.cambuy.com.au//138,,209.0
www.cambuy.com.au//60,h4.9w3.9d3.0,530.0
www.cambuy.com.au//99,h4.3w2.7d1.1,218.0
www.cambuy.com.au//76,h4.4w3.0d3.6,508.0
www.cambuy.com.au//21,h3.8w2.3d0.8,125.0
www.cambuy.com.au//102,,
www.cambuy.com.au//155,h5.3w4.2d3.0,765.0
www.cambuy.com.au//143,h5.6w4.4d3.2,850.0
www.cambuy.com.au//114,,980.0
www.cambuy.com.au//47,h5.6w4.3d2.6,765.0
www.cambuy.com.au//148,h4.9w3.9d3.0,530.0
www.cambuy.com.au//10,h4.8w2.8d2.1,402.0
www.cambuy.com.au//109,h5.2w3.9d3.1,
www.cambuy.com.au//51,h5.3w4.2d3.0,765.0
www.cambuy.com.au//125,h3.8w2.3d0.9,145.0
www.cambuy.com.au//0,h4.8w2.8d2.1,402.0
www.cambuy.com.au//133,,209.0
www.cambuy.com.au//113,h5.2w3.9d3.1,
www.cambuy.com.au//144,h4.9w3.3d4.2,565.0
www.cambuy.com.au//152,h4.3w2.5d1.4,232.0
www.cambuy.com.au//105,h4.7w3.1d2.0,399.0
www.cambuy.com.au//26,h4.2w2.6d1.6,175.0
www.cambuy.com.au//129,h4.4w2.6d1.5,323.0
www.cambuy.com.au//71,h4.8w3.6d5.2,269.0
www.cambuy.com.au//67,h3.7w2.1d0.9,
www.cambuy.com.au//30,,497.0
www.cambuy.com.au//31,h4.3w3.0d1.6,356.0
www.cambuy.com.au//128,h4.2w2.6d1.6,175.0
www.cambuy.com.au//70,h5.6w4.3d2.6,765.0
www.cambuy.com.au//27,,780.0
www.cambuy.com.au//104,h5.6w4.4d3.2,850.0
www.cambuy.com.au//145,h5.2w3.9d3.1,
www.cambuy.com.au//112,,290.0
www.cambuy.com.au//1,h4.8w2.8d2.1,402.0
www.cambuy.com.au//85,h3.8w2.3d0.8,125.0
www.cambuy.com.au//132,h3.8w2.2d0.9,142.0
