spec_id,megapixels,weight
www.garricks.com.au//50,16.0,
www.garricks.com.au//34,12.0,
www.garricks.com.au//47,20.0,
www.garricks.com.au//40,12.1,
www.garricks.com.au//139,16.1,
www.garricks.com.au//81,18.1,1530.0
www.garricks.com.au//59,24.1,
www.garricks.com.au//31,24.2,
www.garricks.com.au//60,20.4,
www.garricks.com.au//75,18.0,575.0
www.garricks.com.au//4,18.0,
www.garricks.com.au//69,12.0,480.0
www.garricks.com.au//19,36.3,900.0
www.garricks.com.au//138,18.0,
www.garricks.com.au//114,36.4,
www.garricks.com.au//127,16.1,
www.garricks.com.au//3,36.3,900.0
www.garricks.com.au//49,22.3,
www.garricks.com.au//12,24.0,
www.garricks.com.au//140,20.2,
www.garricks.com.au//52,36.3,900.0
www.garricks.com.au//87,24.2,
www.garricks.com.au//98,16.1,
www.garricks.com.au//33,16.2,1180.0
www.garricks.com.au//109,24.2,
www.garricks.com.au//6,22.0,860.0
www.garricks.com.au//24,12.0,
www.garricks.com.au//92,16.0,
www.garricks.com.au//46,16.1,
www.garricks.com.au//125,24.2,
www.garricks.com.au//8,24.1,
www.garricks.com.au//72,18.0,575.0
www.garricks.com.au//57,36.3,900.0
www.garricks.com.au//15,20.2,690.0
www.garricks.com.au//16,16.1,
www.garricks.com.au//1,24.2,
www.garricks.com.au//95,16.0,
www.garricks.com.au//85,16.1,
www.garricks.com.au//89,24.2,
www.garricks.com.au//91,16.1,
www.garricks.com.au//38,18.2,165.0
www.garricks.com.au//88,20.2,
www.garricks.com.au//56,16.1,
www.garricks.com.au//13,16.0,
www.garricks.com.au//108,24.2,
www.garricks.com.au//37,10.1,
www.garricks.com.au//132,12.2,
www.garricks.com.au//27,,
www.garricks.com.au//26,24.1,
www.garricks.com.au//70,,
www.garricks.com.au//41,16.1,
www.garricks.com.au//65,36.4,
www.garricks.com.au//126,20.1,
www.garricks.com.au//7,24.1,
www.garricks.com.au//25,24.2,
www.garricks.com.au//76,24.3,
www.garricks.com.au//128,24.2,460.0
www.garricks.com.au//62,,
www.garricks.com.au//66,24.2,
www.garricks.com.au//79,16.0,
www.garricks.com.au//78,16.1,
www.garricks.com.au//2,16.2,
www.garricks.com.au//105,16.0,
www.garricks.com.au//9,24.1,
www.garricks.com.au//136,24.2,
www.garricks.com.au//104,20.2,
www.garricks.com.au//32,24.1,
www.garricks.com.au//67,16.0,
www.garricks.com.au//121,10.1,
www.garricks.com.au//10,20.2,
www.garricks.com.au//135,16.1,
www.garricks.com.au//48,16.1,
www.garricks.com.au//101,,
www.garricks.com.au//111,20.0,
www.garricks.com.au//14,16.1,
www.garricks.com.au//116,16.1,
www.garricks.com.au//93,20.0,
www.garricks.com.au//131,18.0,
www.garricks.com.au//30,18.0,
www.garricks.com.au//84,14.2,
www.garricks.com.au//55,14.3,
www.garricks.com.au//82,16.0,
www.garricks.com.au//29,16.2,
www.garricks.com.au//94,24.3,
www.garricks.com.au//35,20.2,
www.garricks.com.au//74,18.0,
www.garricks.com.au//118,16.1,
www.garricks.com.au//28,16.1,
www.garricks.com.au//68,16.1,
www.garricks.com.au//100,16.0,
www.garricks.com.au//129,16.1,
www.garricks.com.au//120,24.3,
www.garricks.com.au//115,24.2,
www.garricks.com.au//45,24.1,
www.garricks.com.au//96,36.3,900.0
www.garricks.com.au//99,18.0,575.0
www.garricks.com.au//17,2.1,565.0
www.garricks.com.au//124,18.0,
www.garricks.com.au//123,14.2,
www.garricks.com.au//5,24.3,
www.garricks.com.au//21,24.3,
www.garricks.com.au//51,20.0,
www.garricks.com.au//77,16.1,
www.garricks.com.au//112,24.3,
www.garricks.com.au//22,16.1,
www.garricks.com.au//137,16.0,
www.garricks.com.au//44,16.1,
www.garricks.com.au//86,16.1,494.0
www.garricks.com.au//97,24.3,
www.garricks.com.au//0,16.1,
www.garricks.com.au//103,24.3,
www.garricks.com.au//102,16.1,
www.garricks.com.au//63,20.4,
www.garricks.com.au//36,12.0,
www.garricks.com.au//20,24.1,
www.garricks.com.au//133,16.1,
www.garricks.com.au//61,36.3,900.0
www.garricks.com.au//54,18.0,
www.garricks.com.au//134,20.2,690.0
www.garricks.com.au//90,24.3,
www.garricks.com.au//83,22.3,
www.garricks.com.au//53,18.0,575.0
www.garricks.com.au//122,16.0,
www.garricks.com.au//80,16.1,
www.garricks.com.au//71,16.1,565.0
www.garricks.com.au//43,16.1,
www.garricks.com.au//11,20.2,690.0
www.garricks.com.au//18,14.2,
www.garricks.com.au//117,36.3,900.0
www.garricks.com.au//64,12.0,
