spec_id,manufacturer,short_descr,megapixels,weight
www.ilgs.net//142,sony,"['detail', 'even', 'lowlight', 'wiht', '20x', 'optical', 'zoom', 'exmor', 'r™', 'cmos', 'sensor', '182mp', 'full', 'hd', 'intelligent', 'auto', 'wifi']",18.2,
www.ilgs.net//98,fujifilm,"['12mp', '23', 'cmos', 'fullhd', '1920x108060p30p', 'wifi', '80211bgn', 'pictbridge', 'sdsdhcsdxc', 'usb', '20', 'microhdmi', '762', 'cm', '30', 'lcd', '920k', '206g']",12.0,187.0
www.ilgs.net//77,canon,"['eos', '7d', 'efs', '1585mm', 'f3556', 'usm', '223mm', 'x', '149mm', 'cmos', '1800', 'megapixels', 'dual', 'digic', '4', '762', 'cm', '30', 'clear', 'view', 'ii', 'tft', 'compactflash']",18.0,820.0
www.ilgs.net//36,samsung,"['nx300', '203', 'mp', 'cmos', '235', 'x', '157', 'mm', '84074', 'cm', '331', 'amoled', '800', 'x', '480', 'sdxc', 'gps', 'wifi', '80211bgn', 'hdmi', '14a']",20.3,280.0
www.ilgs.net//119,ricoh,"['clearance', 'product', 'box', 'damage16', 'megapixel', '4x', 'optical', 'zoom', '3', 'lcd', 'monitor', 'sd', 'memory', 'card', 'slot', '1', 'year', 'warranty']",16.0,236.0
www.ilgs.net//41,nikon,"['d5200', '241', 'mp', 'cmos', '762', 'cm', '3', 'tft', 'iso', '100', '6400', 'fullhd', 'video', 'hdmi', 'type', 'c', 'minipin', 'sdxc']",,
www.ilgs.net//57,sony,"['204mp', '123', 'exmor', 'r', 'cmos', 'zeiss', 'vario', 'sonnar', 'f43215mm', 'f28', 'w', '63', 'wifi', 'gps']",20.4,660.0
www.ilgs.net//94,canon,"['digital', 'ixus', '150', '16', 'mp', '4608', 'x', '3456', '123', 'ccd', 'iso', '1001600', '6858', 'cm', '27', 'lcd', 'usb', '20', '130', 'g']",16.0,130.0
www.ilgs.net//123,canon,"['eos', '100d', 'body', '18mp', '223', 'x', '149mm', 'cmos', 'digic', '5', 'efefs', 'iso', 'auto', '1006400', '77cm', '30', '32', 'clear', 'view', 'ii', 'tft', '1040k', '5184x3456', 'sd', 'sdhc', 'sdxc', '407g']",18.0,407.0
www.ilgs.net//82,pentax,"['body', 'kit', '2012mp', '5472x3648', 'cmos', 'apsc', 'da', 'l', '1855mm', 'full', '1080p', 'h264', 'hd', 'video', '762', 'cm', '30', 'lcd', 'tft', 'sdsdhcsdxceyefi', 'cardflu', 'card', 'usb20', 'micro', 'b', 'hdmi', 'black']",,
www.ilgs.net//135,canon,"['161', 'mp', '4608', 'x', '3456', 'max', '123', 'cmos', '30x', 'optical4x', 'digital', 'zoom', 'iso', '1003200', '762', 'cm', '3', 'tft', 'usb', '20', 'hdmi', '269', 'g', 'red']",16.1,269.0
www.ilgs.net//7,canon,"['powershot', 'sx600', 'hs', 'cmos', '123', '16mp', '4608', 'x', '3456', 'digic', '4', 'isaps', '45', '810', 'mm', 'f38', 'f69', '75', 'cm', '30', 'purecolor', 'ii', 'g', 'tft', 'full', 'hd', '1920', 'x', '1080', 'usb20', 'hdmimicro', 'wifi', 'ieee80211bgn', 'sd', 'sdhc', 'sdxc', '188g']",16.0,188.0
www.ilgs.net//83,canon,"['digital', 'ixus', '265', 'hs', 'cmos', '123', '16mp', '4608', 'x', '3456', 'digic', '4', 'isaps', '45', '540', 'mm', 'f36', 'f70', '75', 'cm', '30', 'inch', 'lcd', 'tft', 'full', 'hd', '1920', 'x', '1080', 'usb20', 'hdmimicro', 'wifi', 'ieee80211bgn', 'sd', 'sdhc', 'sdxc', '147g']",16.0,147.0
www.ilgs.net//134,canon,"['18mp', '223', 'x', '149mm', '32', 'cmos', 'apsc', 'tft', '762', 'cm', '3']",18.0,480.0
www.ilgs.net//122,panasonic,"['lumix', 'dmctz55', '16mp', '1233', 'mos', 'f33', '64', '1080p', '80211bgn', '24ghz', '762', 'cm', '3', 'tft', 'lcd', 'sdsdhcsdxc', 'usb', 'microhdmi', '1250mah', '224g']",,
www.ilgs.net//17,nikon,"['161mp', '1', '23', 'cmos', '60x', 'zoomnikkor', 'iso', '1001600', '1080p', 'full', 'hd', 'video', 'wifi', 'hdmi', 'usb', 'sdsdhcsdxc', '762', 'cm', '30', '921k', 'lcd', '565g']",,
www.ilgs.net//40,samsung,"['163mp', '123', 'bsi', 'cmos', 'ois', 'f41861mm', '21x', 'zoom', '1080p', '30fps', '762', 'cm', '3', 'lcd', 'tft', 'wifi', 'nfc', 'microsd', 'usb', '20', 'av', '216g']",16.3,216.0
www.ilgs.net//37,nikon,"['d3200', 'kit', 'afs', 'dx', '1855', 'vr', 'ii', '242mp', '6016', 'x', '4000px', 'cmos', 'sd', 'sdhc', 'sdxc', '762', 'cm', '30', 'lcd', 'full', 'hd', 'video', '455g']",,
www.ilgs.net//138,samsung,"['nx', '30', '203mp', 'apsc', '762', 'cm', '3', 'amoled', 'hdmi', 'nfc', 'wlan', '18', '55mm', 'f35', '56', 'ois', 'iii']",20.3,375.0
www.ilgs.net//60,,,16.0,218.0
www.ilgs.net//76,panasonic,"['lumix', 'dmctz55', '16mp', '1233', 'mos', 'f33', '64', '1080p', '80211bgn', '24ghz', '762', 'cm', '3', 'tft', 'lcd', 'sdsdhcsdxc', 'usb', 'microhdmi', '1250mah', '224g']",,
www.ilgs.net//21,canon,"['eos', '70d', '1855mm', 'stm', '202mp', 'cmos', '32', 'native', '5472', 'x', '3648', 'max', '18000', '30', 'sec', 'af', 'ae', 'iso', '10012800', 'h', '25600', 'video', 'full', 'hd', 'pictbridge', 'usb', 'hdmi', 'type', 'c', 'sdsdhc', 'sdxc', 'wifi', '762', 'cm', '30', 'tft', 'lcd', 'touchscreen']",20.2,755.0
www.ilgs.net//102,fujifilm,"['162mp', '123', 'cmos', '50x', '2x', 'digital', '762', 'cm', '3', 'lcd']",16.2,577.0
www.ilgs.net//143,sony,"['204mp', '123', 'type', '782mm', 'exmor', 'r', 'cmos', 'sony', 'g', '30x', 'opt', 'zoom', '30', 'tft', 'ms', 'xchg', 'duosdxc', 'bionz', 'x', 'microusb', 'microhdmi', 'wifi', 'nfc', '272g']",20.4,246.0
www.ilgs.net//47,canon,"['18mp', '223', 'x', '149mm', '32', 'cmos', 'tft', '762', 'cm', '3']",18.0,480.0
www.ilgs.net//148,samsung,"['nx300', '203', 'mp', 'cmos', '235', 'x', '157', 'mm', '84074', 'cm', '331', 'amoled', '800', 'x', '480', 'sdxc', 'gps', 'wifi', '80211bgn', 'hdmi', '14a']",20.3,280.0
www.ilgs.net//109,nikon,"['nikon', 'd7000', 'slr', '162mp', 'cmos', '4928', 'x', '3264', 'iso', '1006400', '762', 'cm', '3', 'tftlcd', 'usb', 'sdsdhcsdxc', '690g', 'black']",,
www.ilgs.net//125,samsung,"['123', 'bsi', 'cmos', '17mp', '12192', 'cm', '48', 'hd', 'super', 'clear', 'lcd', '1280', 'x', '720', '387gb', 'usb', '20', 'microsd', '1650mah', 'android', '41', 'jellybean']",16.3,300.0
www.ilgs.net//0,sony,"['digital', 'compact', 'camera', '5x', 'optical', 'zoom', '26mm', 'wideangle', 'lens', '201mp', 'sensor', 'steadyshot']",20.1,125.0
www.ilgs.net//133,panasonic,"['lumix', 'dmctz55', '16mp', '1233', 'mos', 'f33', '64', '1080p', '80211bgn', '24ghz', '762', 'cm', '3', 'tft', 'lcd', 'sdsdhcsdxc', 'usb', 'microhdmi', '1250mah', '224g']",,
www.ilgs.net//144,nikon,"['122mp', '117', 'cmos', 'fullhd', 'video', '762', 'cm', '3', '921k', 'lcd', 'gps', 'sdsdhcsdxc', 'usb', '200g']",,
www.ilgs.net//105,sony,"['dscwx350', '182', 'mp', '123', 'type', '782mm', 'exmor', 'r', 'cmos', '20x', 'optical', 'zoom', '762', 'cm', '30', 'tft', 'memory', 'stick', 'xchg', 'duosdxc', 'bionz', 'x', 'micro', 'usb', 'micro', 'hdmi', 'wifi', 'nfc']",14.1,137.0
www.ilgs.net//26,,,16.0,271.0
www.ilgs.net//129,,,16.0,271.0
www.ilgs.net//71,pentax,"['162mp', 'cmos', 'iso', '100', '51200', '16000sec', '6fps', 'usb', 'sdsdhcsdxc', '762', 'cm', '3', 'tft', 'lcd', '650g']",16.49,650.0
www.ilgs.net//88,sony,"['204mpx', 'exmor', 'r', 'cmos', '50x', 'optical', 'zoom', '75cm', '30', 'lcd', 'full', 'hd', 'intelligent', 'auto', 'manual', 'control']",20.4,623.0
