spec_id,type,screen_size,megapixels
www.pcconnection.com//4452,compact,3.0,12.0
www.pcconnection.com//4451,,,
www.pcconnection.com//12419,point shoot,3.0,16.0
www.pcconnection.com//12378,compact,3.0,16.0
www.pcconnection.com//4475,compact,3.0,12.0
www.pcconnection.com//12392,compact,2.7,16.1
www.pcconnection.com//12406,compact,2.7,16.1
www.pcconnection.com//12450,compact,3.0,16.0
www.pcconnection.com//4454,,,
www.pcconnection.com//12400,slr,3.0,18.0
www.pcconnection.com//12418,mirrorless system,3.0,14.2
www.pcconnection.com//12375,compact,3.0,20.0
www.pcconnection.com//4425,compact,2.7,14.4
www.pcconnection.com//4438,mirrorless system,3.0,16.1
www.pcconnection.com//12410,point shoot,3.0,12.1
www.pcconnection.com//12396,mirrorless system,3.0,16.1
www.pcconnection.com//12402,point shoot,2.7,20.0
www.pcconnection.com//12177,slr,3.0,16.3
www.pcconnection.com//4441,mirrorless system,3.0,16.1
www.pcconnection.com//4457,mirrorless system,3.0,14.2
www.pcconnection.com//4421,compact,2.7,16.0
www.pcconnection.com//12367,compact,4.8,16.3
www.pcconnection.com//12404,compact,3.0,20.1
www.pcconnection.com//4465,mirrorless system,3.0,16.1
www.pcconnection.com//4468,compact,3.0,16.1
www.pcconnection.com//12445,compact,2.7,13.2
www.pcconnection.com//4405,mirrorless system,3.0,14.2
www.pcconnection.com//12171,compact,3.0,16.0
www.pcconnection.com//12397,compact,3.0,24.3
www.pcconnection.com//12415,,,
www.pcconnection.com//4460,,,
www.pcconnection.com//12181,slr,3.0,24.2
www.pcconnection.com//12385,point shoot,3.0,16.0
www.pcconnection.com//12365,slr,3.2,23.4
www.pcconnection.com//12433,compact,3.0,16.0
www.pcconnection.com//12383,compact,2.5,12.2
www.pcconnection.com//12398,compact,2.7,16.2
www.pcconnection.com//4467,mirrorless system,3.0,16.1
www.pcconnection.com//4396,compact,3.0,16.0
www.pcconnection.com//4466,point shoot,2.7,16.0
www.pcconnection.com//4470,mirrorless system,3.0,16.1
www.pcconnection.com//4469,compact,3.0,16.0
www.pcconnection.com//12366,slr,3.0,20.2
www.pcconnection.com//4411,compact,3.5,16.0
www.pcconnection.com//12371,compact,2.7,16.1
www.pcconnection.com//4459,point shoot,3.0,12.1
www.pcconnection.com//12432,mirrorless system,3.0,24.3
www.pcconnection.com//12422,compact,2.7,12.1
www.pcconnection.com//4428,compact,3.0,16.0
www.pcconnection.com//4407,compact,3.0,12.0
www.pcconnection.com//12379,point shoot,3.0,12.1
www.pcconnection.com//12381,point shoot,2.7,16.0
www.pcconnection.com//12372,point shoot,2.7,20.0
www.pcconnection.com//12115,compact,3.0,16.4
www.pcconnection.com//4463,compact,3.0,16.0
www.pcconnection.com//12438,compact,3.0,16.1
www.pcconnection.com//4435,mirrorless system,3.0,14.2
www.pcconnection.com//4415,mirrorless system,3.0,14.2
www.pcconnection.com//12169,slr,3.2,36.3
www.pcconnection.com//4424,compact,2.7,13.2
www.pcconnection.com//12380,compact,3.3,18.2
www.pcconnection.com//12409,mirrorless system,3.0,20.1
www.pcconnection.com//4464,slr,3.0,18.0
www.pcconnection.com//12420,,,
www.pcconnection.com//12188,,,
www.pcconnection.com//4440,compact,3.0,12.0
