spec_id,screen_size,dots
www.pricedekho.com//1146,2.7,230000d
www.pricedekho.com//1160,,
www.pricedekho.com//1195,2.7,460800d
www.pricedekho.com//1094,3.0,
www.pricedekho.com//1052,,
www.pricedekho.com//1001,,
www.pricedekho.com//1097,3.0,460000d
www.pricedekho.com//726,3.0,921600d
www.pricedekho.com//1266,2.7,230000d
www.pricedekho.com//1039,,
www.pricedekho.com//1221,3.0,
www.pricedekho.com//1135,3.5,230000d
www.pricedekho.com//986,,
www.pricedekho.com//1047,,
www.pricedekho.com//1236,2.7,
www.pricedekho.com//1085,,
www.pricedekho.com//1220,3.2,920000d
www.pricedekho.com//1030,,
www.pricedekho.com//1106,2.7,230000d
www.pricedekho.com//1028,,
www.pricedekho.com//987,,
www.pricedekho.com//1211,3.0,460000d
www.pricedekho.com//1090,2.7,230000d
www.pricedekho.com//1170,2.7,230000d
www.pricedekho.com//985,,
www.pricedekho.com//983,,
www.pricedekho.com//733,2.7,
www.pricedekho.com//1041,,
www.pricedekho.com//1206,1.0,
www.pricedekho.com//959,,
www.pricedekho.com//1227,3.0,1040000d
www.pricedekho.com//772,2.7,230000d
www.pricedekho.com//737,3.0,461000d
www.pricedekho.com//1016,,
www.pricedekho.com//1045,,
www.pricedekho.com//1048,,
www.pricedekho.com//1043,,
www.pricedekho.com//1009,,
www.pricedekho.com//972,,
www.pricedekho.com//1108,3.0,
www.pricedekho.com//743,3.0,921000d
www.pricedekho.com//1107,2.7,230000d
www.pricedekho.com//1145,3.0,920000d
www.pricedekho.com//1134,3.0,230000d
www.pricedekho.com//1239,2.7,
www.pricedekho.com//1139,3.0,230000d
www.pricedekho.com//1033,,
www.pricedekho.com//1078,,
www.pricedekho.com//1169,3.0,
www.pricedekho.com//1044,,
www.pricedekho.com//1207,3.0,230000d
www.pricedekho.com//741,3.0,921600d
www.pricedekho.com//1129,3.0,230000d
www.pricedekho.com//1027,,
www.pricedekho.com//1122,3.2,
www.pricedekho.com//770,3.0,610000d
www.pricedekho.com//1010,,
www.pricedekho.com//1007,,
www.pricedekho.com//750,2.8,461000d
www.pricedekho.com//965,,
www.pricedekho.com//1074,,
www.pricedekho.com//728,3.0,
www.pricedekho.com//1253,3.0,921000d
www.pricedekho.com//1249,3.2,1229000d
www.pricedekho.com//953,,
www.pricedekho.com//1225,3.0,
www.pricedekho.com//1029,,
www.pricedekho.com//1213,3.0,230000d
www.pricedekho.com//1086,,
www.pricedekho.com//998,,
www.pricedekho.com//1000,,
www.pricedekho.com//1069,,
www.pricedekho.com//1126,3.0,
www.pricedekho.com//1095,2.7,230000d
www.pricedekho.com//1192,3.0,460800d
www.pricedekho.com//1168,3.0,
www.pricedekho.com//725,,
www.pricedekho.com//1034,,
www.pricedekho.com//993,,
www.pricedekho.com//971,,
www.pricedekho.com//1073,,
www.pricedekho.com//970,,
www.pricedekho.com//1216,2.7,230000d
www.pricedekho.com//1196,3.0,230000d
www.pricedekho.com//1240,3.0,461000d
www.pricedekho.com//982,,
www.pricedekho.com//1172,3.2,
www.pricedekho.com//1087,,
www.pricedekho.com//1015,,
www.pricedekho.com//1203,3.3,1229760d
www.pricedekho.com//1265,3.0,230000d
www.pricedekho.com//1082,,
www.pricedekho.com//1031,,
www.pricedekho.com//964,,
www.pricedekho.com//976,,
www.pricedekho.com//1060,,
www.pricedekho.com//771,3.0,1040000d
www.pricedekho.com//1224,3.5,819000d
www.pricedekho.com//1040,,
www.pricedekho.com//1002,,
