spec_id,screen_size,brand,type,megapixels,dots,weight,dimensions
www.price-hunt.com//729,2.7,pentax,point shoot,14.0,230000d,167.0,2.3h4.5w1.1d
www.price-hunt.com//9793,3.0,sony,dslr,24.3,921600d,350.0,4.7h2.6w1.7d
www.price-hunt.com//9681,2.7,panasonic,camcorder,,123200d,273.0,2.2h2.5w4.2d
www.price-hunt.com//791,2.7,sony,camcorder,,211200d,,
www.price-hunt.com//9814,3.0,panasonic,camcorder,14.3,230400d,180.0,3.4h4.8w1.5d
www.price-hunt.com//841,1.4,garmin,sports action,16.0,,177.0,1.3h2.1w4.4d
www.price-hunt.com//857,3.0,panasonic,point shoot,16.1,460000d,606.0,3.8h5.1w4.7d
www.price-hunt.com//9802,3.0,olympus,point shoot,14.0,230000d,125.0,2.2h3.8w0.8d
www.price-hunt.com//9551,3.0,nikon,point shoot,12.2,921000d,200.0,
www.price-hunt.com//912,2.7,panasonic,camcorder,8.9,230400d,181.0,2.1h2.4w4.5d
www.price-hunt.com//9855,3.0,kodak,point shoot,14.0,230000d,519.0,3.3h4.9w4.1d
www.price-hunt.com//945,2.7,panasonic,camcorder,1.3,230400d,181.0,2.0h2.3w4.4d
www.price-hunt.com//9654,3.0,pentax,advanced point shoot,16.0,460000d,598.0,4.7h3.4w4.2d
www.price-hunt.com//9711,3.0,panasonic,point shoot,10.1,460000d,271.0,2.6h4.3w1.7d
www.price-hunt.com//744,,sony,camcorder,11.9,,65.0,1.0h1.9w3.2d
www.price-hunt.com//9592,3.0,sony,point shoot,20.1,1228800d,290.0,4.0h2.3w1.6d
www.price-hunt.com//9603,2.7,sony,,14.1,,108.0,
www.price-hunt.com//9879,2.7,nikon,point shoot,20.1,230000d,125.0,2.3h3.8w0.8d
www.price-hunt.com//9615,2.7,panasonic,camcorder,2.1,230400d,,2.1h2.6w4.4d
www.price-hunt.com//9750,,sony,sports action,11.9,,65.0,1.0h1.9w3.2d
www.price-hunt.com//9880,3.0,olympus,point shoot,14.0,230400d,158.0,2.3h4.0w1.1d
www.price-hunt.com//9584,3.0,sony,dslr,24.3,1228800d,,4.4h5.8w3.1d
www.price-hunt.com//9838,2.7,sony,,10.2,,120.0,
www.price-hunt.com//9635,3.0,panasonic,point shoot,16.1,460000d,193.0,2.3h4.1w1.1d
www.price-hunt.com//9818,2.7,sony,,12.1,,117.0,
www.price-hunt.com//908,3.0,sony,dslr,20.1,460800d,269.0,2.5h4.3w1.4d
