spec_id,dimensions,screen_size,megapixels,weight
www.shopbot.com.au//379,,,,
www.shopbot.com.au//1659,3.8h4.9w3.0d,3,24.2,505
www.shopbot.com.au//1209,,,,
www.shopbot.com.au//1570,,,,
www.shopbot.com.au//284,,,,
www.shopbot.com.au//1527,,,,
www.shopbot.com.au//1198,2.5h4.1w1.3d,3,16,215
www.shopbot.com.au//292,,,,
www.shopbot.com.au//1618,2.2h3.8w0.7d,3,16.1,123
www.shopbot.com.au//1531,,,,
www.shopbot.com.au//441,,,,
www.shopbot.com.au//1566,,,,
www.shopbot.com.au//1423,,,,
www.shopbot.com.au//1264,3.2h5.5w1.7d,3,16.3,450
www.shopbot.com.au//251,,,,
www.shopbot.com.au//1634,,,,
www.shopbot.com.au//1321,,,,
www.shopbot.com.au//1458,,,,
www.shopbot.com.au//1399,2.7h4.6w1.5d,3,16,318
www.shopbot.com.au//1663,,,,
www.shopbot.com.au//1233,,,,
www.shopbot.com.au//1376,4.1h5.2w3.0d,3,16.2,780
www.shopbot.com.au//343,,,,
www.shopbot.com.au//1225,,,,
www.shopbot.com.au//355,,,,
www.shopbot.com.au//1360,,,,
www.shopbot.com.au//1419,,,,
www.shopbot.com.au//1622,,,,
www.shopbot.com.au//247,3.9h5.2w3.1d,3,18,570
www.shopbot.com.au//1272,4.8h5.7w3.2d,3.2,36.3,900
www.shopbot.com.au//1337,,,,
www.shopbot.com.au//302,,,,
www.shopbot.com.au//1439,2.7h4.8w1.3d,3,12.3,369
www.shopbot.com.au//1593,,,,
www.shopbot.com.au//1340,2.6h4.3w1.3d,3,12.1,264
www.shopbot.com.au//1205,,,,
www.shopbot.com.au//230,,,,
www.shopbot.com.au//1655,,,,
www.shopbot.com.au//1481,,,,
www.shopbot.com.au//288,,,,
www.shopbot.com.au//1317,2.6h4.8w2.3d,,15.4,330
www.shopbot.com.au//322,,,,
www.shopbot.com.au//1602,,,,
www.shopbot.com.au//1497,2.7h4.2w1.6d,3,16,226
www.shopbot.com.au//1478,3.5h4.8w1.7d,3,16.1,425
www.shopbot.com.au//334,,,,
www.shopbot.com.au//1301,,,,
www.shopbot.com.au//1244,,,,
www.shopbot.com.au//271,,,,
www.shopbot.com.au//1614,,,,
www.shopbot.com.au//1585,,,,
www.shopbot.com.au//363,,,,
www.shopbot.com.au//1643,,,,
www.shopbot.com.au//226,,,,
www.shopbot.com.au//1511,,,,
www.shopbot.com.au//1638,2.4h4.2w1.3d,3,12.1,231
www.shopbot.com.au//1268,,,,
www.shopbot.com.au//1287,,,,
www.shopbot.com.au//318,,,,
www.shopbot.com.au//436,,,,
www.shopbot.com.au//1403,,,,
www.shopbot.com.au//1546,,,,
www.shopbot.com.au//1395,,,,
www.shopbot.com.au//1415,4.2h5.7w3.1d,3,18,755
www.shopbot.com.au//1550,3.6h4.9w3.3d,2.6,16.1,506
www.shopbot.com.au//1383,,,,
www.shopbot.com.au//1229,,,,
www.shopbot.com.au//1442,,,,
www.shopbot.com.au//1291,3.8h5.2w5.0d,3,16,687
www.shopbot.com.au//1382,3.8h5.0w3.1d,3,16.2,560
www.shopbot.com.au//1228,,,,
www.shopbot.com.au//358,,,,
www.shopbot.com.au//1414,,,,
www.shopbot.com.au//1551,,,,
www.shopbot.com.au//1394,,,,
www.shopbot.com.au//437,,,,
www.shopbot.com.au//1402,,,,
www.shopbot.com.au//1547,,,,
