spec_id,brand,short_desc,megapixels,screen_size
www.shopmania.in//1659,sony,"['sony', 'dscw630']",1,2.7
www.shopmania.in//1120,samsung,"['samsung', 'es75']",2,2.7
www.shopmania.in//1570,sony,"['sony', 'dscrx1']",3,3
www.shopmania.in//1065,canon,"['canon', 'eos', '60d', 'kit', '1855mm']",18,3
www.shopmania.in//1527,fujifilm,"['fujifilm', 'xq1']",12,3
www.shopmania.in//1177,fujifilm,"['fujifilm', 'finepix', 's4800']",16,3
www.shopmania.in//904,nikon,"['nikon', 'd7100', 'kit', '18140mm']",1,
www.shopmania.in//1462,sony,"['sony', 'cybershot', 'dsch100']",1,3
www.shopmania.in//1032,fujifilm,"['fujifilm', 'xs1']",12,3
www.shopmania.in//1618,sony,"['sony', 'slta99', 'body']",3,3
www.shopmania.in//1248,canon,"['canon', 'powershot', 'sx150']",1,3
www.shopmania.in//1531,kodak,"['kodak', 'm522', 'kodak', 'm522']",14,2.7
www.shopmania.in//1474,nikon,"['nikon', 'l310']",14,3
www.shopmania.in//912,samsung,"['samsung', 'wb30f']",2,3
www.shopmania.in//1136,canon,"['canon', 'eos', '650d', 'kit', '1855mm']",18,3
www.shopmania.in//945,kodak,"['kodak', 'easyshare', 'c143', 'kodak', 'easyshare', 'c143']",12,2.7
www.shopmania.in//1423,fujifilm,"['fujifilm', 'finepix', 'real', '3d', 'w3']",10,3.5
www.shopmania.in//1589,olympus,"['olympus', 'vg150']",12,2.7
www.shopmania.in//1264,canon,"['canon', 'eos', '1000d', 'body', 'canon', 'eos', '1000d', 'body']",1,2.5
www.shopmania.in//894,sony,"['sony', 'slta77', 'kit', '18135mm']",3,3
www.shopmania.in//1458,sony,"['sony', 'alpha', '7r', 'body']",36,3
www.shopmania.in//1399,olympus,"['olympus', 'pen', 'epm2']",1,3
www.shopmania.in//1663,casio,"['casio', 'exilim', 'hizoom', 'exh5', 'casio', 'exilim', 'hizoom', 'exh5']",1,2.7
www.shopmania.in//1233,canon,"['canon', 'powershot', 'd10', 'canon', 'powershot', 'd10']",1,2.5
www.shopmania.in//1726,canon,"['canon', 'eos', '600d', 'kit', '1855mm']",18,3
www.shopmania.in//1376,nikon,"['nikon', '1', 'v1', 'kit', '1030mm', 'nikon', '1', 'v1', 'kit', '1030mm']",1,3
www.shopmania.in//1225,sony,"['sony', 'slta65', 'body', 'sony', 'slta65', 'body']",3,3
www.shopmania.in//640,nikon,"['nikon', 'coolpix', 'p600']",16,3
www.shopmania.in//1360,canon,"['canon', 'powershot', 's90', 'canon', 'powershot', 's90']",10,3
www.shopmania.in//705,panasonic,"['panasonic', 'lumix', 'dmcfh20', 'panasonic', 'lumix', 'dmcfh20']",14,2.7
www.shopmania.in//1730,pentax,"['pentax', 'optio', 'ls465', 'pentax', 'optio', 'ls465']",16,2.7
www.shopmania.in//1622,sony,"['sony', 'nex6', 'kit', '1650mm']",1,3
www.shopmania.in//1272,canon,"['canon', 'eos1d', 'x', 'body']",1,3.2
www.shopmania.in//1337,nikon,"['nikon', 's1200pj']",1,3
www.shopmania.in//928,fujifilm,"['fujifilm', 'finepix', 'xp60']",16,2.7
www.shopmania.in//882,vivitar,"['vivitar', 'vf128']",,
www.shopmania.in//1086,kodak,"['kodak', 'easyshare', 'z981', 'kodak', 'easyshare', 'z981']",14,3
www.shopmania.in//1069,nikon,"['nikon', 'd3300', 'body']",24,3
www.shopmania.in//1710,sony,"['sony', 'cybershot', 'dsch20', 'sony', 'cybershot', 'dsch20']",1,3
www.shopmania.in//1655,nikon,"['nikon', 'coolpix', 's8100', 'nikon', 'coolpix', 's8100']",1,3
www.shopmania.in//660,olympus,"['olympus', 'sp820uz']",14,3
www.shopmania.in//1481,olympus,"['olympus', 'sz30', 'olympus', 'sz30']",16,3
www.shopmania.in//1194,nikon,"['nikon', 'coolpix', 'p330']",12,3
www.shopmania.in//1317,canon,"['canon', 'eos', '7d', 'kit', '1585mm']",18,3
www.shopmania.in//637,panasonic,"['panasonic', 'lumix', 'dmcts2', 'panasonic', 'lumix', 'dmcts2']",1,2.7
www.shopmania.in//1497,fujifilm,"['fujifilm', 's3300', 'fujifilm', 's3300']",14,3
www.shopmania.in//1182,nikon,"['nikon', 'coolpix', 'l21', 'nikon', 'coolpix', 'l21']",8,2.5
www.shopmania.in//1478,nikon,"['nikon', '1', 'v1', 'kit', '1030mm', '30110mm']",1,3
www.shopmania.in//1301,samsung,"['samsung', 'es60']",2,2.5
www.shopmania.in//1244,sony,"['sony', 'cybershot', 'dsch300']",20,3
www.shopmania.in//1614,fujifilm,"['fujifilm', 'ax550']",16,2.7
www.shopmania.in//949,nikon,"['nikon', 'd3200', 'kit', '18105mm']",2,3
www.shopmania.in//1706,sony,"['sony', 'dslra290', 'kit', '1855mm']",,
www.shopmania.in//1643,canon,"['canon', 'eos', '5d', 'mark', 'ii', 'body']",21,3
www.shopmania.in//1213,panasonic,"['panasonic', 'lumix', 'dmcfh10']",1,2.7
www.shopmania.in//1004,fujifilm,"['fujifilm', 'finepix', 'f550exr', 'fujifilm', 'finepix', 'f550exr']",16,3
www.shopmania.in//1454,fujifilm,"['fujifilm', 'finepix', 's1800', 'fujifilm', 'finepix', 's1800']",2,3
www.shopmania.in//932,nikon,"['nikon', 'coolpix', 'l30']",20,3.2
www.shopmania.in//898,sony,"['sony', 'dscwx70']",2,3
www.shopmania.in//1141,nikon,"['nikon', 'd7100', 'kit', '18105mm']",24,3.2
www.shopmania.in//1268,canon,"['canon', 'eos', 'kit', '1855mm', '22mm', 'speedlite', '90ex']",18,3
www.shopmania.in//1287,olympus,"['olympus', 'vg110', 'olympus', 'vg110']",12,2.7
www.shopmania.in//965,nikon,"['nikon', '1', 'j3', 'kit', '1030mm', '30110mm']",2,3
www.shopmania.in//1546,vivitar,"['vivitar', 'vivicam', '8025']",1,2.4
www.shopmania.in//1116,panasonic,"['panasonic', 'lumix', 'dmctz6', 'panasonic', 'lumix', 'dmctz6']",1,2.7
www.shopmania.in//1395,nikon,"['nikon', 'coolpix', 's6400']",16,3
www.shopmania.in//1680,nikon,"['nikon', 's6150']",16,3
www.shopmania.in//973,panasonic,"['panasonic', 'dmcfz60', 'panasonic', 'dmcfz60']",1,3
www.shopmania.in//1383,nikon,"['nikon', 'coolpix', 's9700']",16,3
www.shopmania.in//1229,pentax,"['pentax', 'efina']",14,2.5
www.shopmania.in//1696,canon,"['canon', 'eos', '6d', 'body']",2,3
www.shopmania.in//1442,canon,"['canon', 'powershot', 'g1x']",3,3
www.shopmania.in//1507,nikon,"['nikon', 'd810', 'body']",3,3.2
www.shopmania.in//1157,pentax,"['pentax', 'x5']",16,3
www.shopmania.in//861,canon,"['canon', 'eos', '60d', 'body']",18,3
www.shopmania.in//1291,samsung,"['samsung', 'digimax', 'l830', 'samsung', 'digimax', 'l830']",1,2.5
www.shopmania.in//1290,leica,"['leica', 'dlux', '5', 'leica', 'dlux', '5']",1,3
www.shopmania.in//1013,nikon,"['nikon', '1', 'v1', 'body']",1,3
www.shopmania.in//1506,fujifilm,"['fujifilm', 's4500']",14,3
www.shopmania.in//1382,nikon,"['nikon', 'coolpix', 's3600']",20,2.7
www.shopmania.in//1697,samsung,"['samsung', 'dv150f']",2,2.7
www.shopmania.in//1101,nikon,"['nikon', 'coolpix', 's01']",1,2.5
www.shopmania.in//1551,panasonic,"['panasonic', 'dmcs2']",1,2.7
www.shopmania.in//1394,sony,"['sony', 'dscw690']",1,3
www.shopmania.in//1052,samsung,"['samsung', 'wb600']",12,3
www.shopmania.in//1547,panasonic,"['panasonic', 'dmclx7']",1,3
www.shopmania.in//1117,fujifilm,"['fujifilm', 'jz100']",4,2.7
www.shopmania.in//1269,fujifilm,"['fujifilm', 't350', 'fujifilm', 't350']",14,3
www.shopmania.in//1286,olympus,"['olympus', 'tg2', 'ihs']",12,3
www.shopmania.in//1005,fujifilm,"['fujifilm', 'x20']",12,2.8
www.shopmania.in//899,nikon,"['nikon', 'd4', 'body']",2,3.2
www.shopmania.in//1140,nikon,"['nikon', 'd600', 'body']",3,3.2
www.shopmania.in//1707,easypix,"['easypix', 'v527']",3,2.7
www.shopmania.in//698,sony,"['sony', 'alpha', '7', 'kit', '2870mm']",24,3
