spec_id,screen size inches,megapixels
www.wexphotographic.com//154,3.0,16.0
www.wexphotographic.com//553,2.7,16.0
www.wexphotographic.com//601,3.0,16.4
www.wexphotographic.com//197,3.0,16.0
www.wexphotographic.com//178,3.0,16.0
www.wexphotographic.com//206,2.7,20.1
www.wexphotographic.com//590,0.0,20.2
www.wexphotographic.com//210,3.0,16.0
www.wexphotographic.com//586,2.7,13.2
www.wexphotographic.com//569,3.0,16.2
www.wexphotographic.com//617,3.0,16.3
www.wexphotographic.com//181,3.0,16.0
www.wexphotographic.com//549,3.0,20.4
www.wexphotographic.com//158,3.0,16.1
www.wexphotographic.com//621,3.0,16.0
www.wexphotographic.com//174,3.0,16.2
www.wexphotographic.com//573,3.0,16.2
www.wexphotographic.com//565,3.0,24.3
www.wexphotographic.com//162,3.0,12.0
www.wexphotographic.com//533,3.0,18.1
www.wexphotographic.com//163,3.0,16.0
www.wexphotographic.com//564,2.7,20.1
www.wexphotographic.com//572,3.0,16.1
www.wexphotographic.com//175,0.0,0.0
www.wexphotographic.com//620,3.0,12.1
www.wexphotographic.com//159,3.0,16.0
www.wexphotographic.com//180,3.0,16.0
www.wexphotographic.com//616,3.0,16.2
www.wexphotographic.com//587,3.0,20.1
www.wexphotographic.com//568,2.7,16.0
www.wexphotographic.com//211,3.0,12.8
www.wexphotographic.com//591,3.0,12.8
www.wexphotographic.com//207,3.0,12.0
www.wexphotographic.com//196,3.0,16.0
www.wexphotographic.com//179,3.0,12.2
www.wexphotographic.com//600,3.0,20.2
www.wexphotographic.com//552,2.7,16.2
www.wexphotographic.com//155,3.0,16.0
www.wexphotographic.com//148,2.7,16.4
www.wexphotographic.com//559,3.0,16.0
www.wexphotographic.com//172,3.0,20.1
www.wexphotographic.com//575,3.0,16.0
www.wexphotographic.com//563,3.0,24.3
www.wexphotographic.com//164,3.0,16.2
www.wexphotographic.com//152,3.0,12.8
www.wexphotographic.com//555,3.0,16.0
www.wexphotographic.com//607,3.0,16.0
www.wexphotographic.com//191,2.7,20.1
www.wexphotographic.com//200,3.0,16.3
www.wexphotographic.com//596,3.0,12.1
www.wexphotographic.com//579,3.0,20.4
www.wexphotographic.com//216,3.0,16.0
www.wexphotographic.com//580,3.0,16.1
www.wexphotographic.com//611,0.0,18.0
www.wexphotographic.com//187,3.0,16.0
www.wexphotographic.com//168,2.7,14.0
